DateTime,Température (°C),Humidité (%),Luminosité (lux)
2023-10-06 12:00,37,48,4200
2023-10-06 13:00,38,47,3800
2023-10-06 14:00,39,45,3200
2023-10-06 15:00,40,43,2500
2023-10-06 16:00,39,46,1800
2023-10-06 17:00,37,48,1200
2023-10-06 18:00,35,50,600
2023-10-06 19:00,34,52,200
2023-10-06 20:00,32,55,70
2023-10-06 21:00,30,58,30
2023-10-06 22:00,29,60,15
2023-10-06 23:00,28,63,5
